symbol,marketcap,exchange,exchangeName
AMRX,1718180235.0,XNAS,Nasdaq All Markets
AMSC,388507426.0,XNAS,Nasdaq All Markets
AMSF,959854720.0,XNAS,Nasdaq All Markets
AMST,6305251.0,XNAS,Nasdaq All Markets
AMSWA,354823147.0,XNAS,Nasdaq All Markets
AMT,86841405000.0,XNYS,New York Stock Exchange Inc
AMTB,740538397.0,XNYS,New York Stock Exchange Inc
AMTD,70408625.0,XNYS,New York Stock Exchange Inc
AMTX,136889212.0,XNAS,Nasdaq All Markets
AMWD,1497149846.0,XNAS,Nasdaq All Markets
AMWL,280085612.0,XNYS,New York Stock Exchange Inc
AMX,52649888500.0,XNYS,New York Stock Exchange Inc
AMZD,2679265.0,XNAS,Nasdaq All Markets
AMZN,1767932295728.0,XNAS,Nasdaq All Markets
AMZU,78594282.0,XNAS,Nasdaq All Markets
AN,6423142047.0,XNYS,New York Stock Exchange Inc
ANAB,601927782.0,XNAS,Nasdaq All Markets
ANDE,1770309236.0,XNAS,Nasdaq All Markets
ANEB,63057714.0,XNAS,Nasdaq All Markets
ANET,83841488269.0,XNYS,New York Stock Exchange Inc
ANF,5758830432.0,XNYS,New York Stock Exchange Inc
ANGH,25667580.0,XNAS,Nasdaq All Markets
ANGHW,25667581.0,XNAS,Nasdaq All Markets
ANGI,204752080.0,XNAS,Nasdaq All Markets
ANGL,3053355000.0,XNAS,Nasdaq All Markets
ANGO,238732594.0,XNAS,Nasdaq All Markets
ANIK,346842589.0,XNAS,Nasdaq All Markets
ANIP,1157784392.0,XNAS,Nasdaq All Markets
ANIX,139531713.0,XNAS,Nasdaq All Markets
ANL,257392344.0,XNAS,Nasdaq All Markets
ANNX,272317408.0,XNAS,Nasdaq All Markets
ANRO,0.0,XNYS,New York Stock Exchange Inc
ANSC,349830000.0,XNAS,Nasdaq All Markets
ANSCU,349829998.0,XNAS,Nasdaq All Markets
ANSS,28840033140.0,XNAS,Nasdaq All Markets
ANTE,3374741.0,XNAS,Nasdaq All Markets
ANTX,128483042.0,XNAS,Nasdaq All Markets
ANVS,109343608.0,XNYS,New York Stock Exchange Inc
ANY,32586613.0,XNAS,Nasdaq All Markets
AOD,848192379.0,XNYS,New York Stock Exchange Inc
AOGO,19078077.0,XNAS,Nasdaq All Markets
AOGOU,19078083.0,XNAS,Nasdaq All Markets
AOMR,256917635.0,XNYS,New York Stock Exchange Inc
AON,62213224882.0,XNYS,New York Stock Exchange Inc
AONC,55390574.0,XNAS,Nasdaq All Markets
AONCW,55390574.0,XNAS,Nasdaq All Markets
AORT,698640000.0,XNYS,New York Stock Exchange Inc
AOS,12165515215.0,XNYS,New York Stock Exchange Inc
AOSL,648141226.0,XNAS,Nasdaq All Markets
AOTG,33255000.0,XNAS,Nasdaq All Markets
AOUT,115783152.0,XNAS,Nasdaq All Markets
AP,48810145.0,XNYS,New York Stock Exchange Inc
APA,9086562847.0,XNAS,Nasdaq All Markets
APAC,22561512.0,XNAS,Nasdaq All Markets
APACU,22561507.0,XNAS,Nasdaq All Markets
APACW,22561512.0,XNAS,Nasdaq All Markets
APAM,2869971067.0,XNYS,New York Stock Exchange Inc
APCA,126531868.0,XNYS,New York Stock Exchange Inc
APCA=,126531867.0,XNYS,New York Stock Exchange Inc
APCX,38278243.0,XNAS,Nasdaq All Markets
APCXW,41795703.0,XNAS,Nasdaq All Markets
APD,48831760368.0,XNYS,New York Stock Exchange Inc
APDN,9609946.0,XNAS,Nasdaq All Markets
APEI,195619765.0,XNAS,Nasdaq All Markets
APG,8103235448.0,XNYS,New York Stock Exchange Inc
APGE,1739648582.0,XNAS,Nasdaq All Markets
APH,62072980188.0,XNYS,New York Stock Exchange Inc
API,230430905.0,XNAS,Nasdaq All Markets
APLD,541878632.0,XNAS,Nasdaq All Markets
APLE,3591129035.0,XNYS,New York Stock Exchange Inc
APLM,62618657.0,XNAS,Nasdaq All Markets
APLS,7803221378.0,XNAS,Nasdaq All Markets
APLT,213924903.0,XNAS,Nasdaq All Markets
APM,2613673.0,XNAS,Nasdaq All Markets
APO,62394158925.0,XNYS,New York Stock Exchange Inc
APO-A,61834779874.0,XNYS,New York Stock Exchange Inc
APOG,1210705072.0,XNAS,Nasdaq All Markets
APOS,61048137458.0,XNYS,New York Stock Exchange Inc
APP,12185300453.0,XNAS,Nasdaq All Markets
APPF,5011900905.0,XNAS,Nasdaq All Markets
APPN,1326201805.0,XNAS,Nasdaq All Markets
APPS,372888005.0,XNAS,Nasdaq All Markets
APRE,23914707.0,XNAS,Nasdaq All Markets
APTO,32335301.0,XNAS,Nasdaq All Markets
APTV,22261495351.0,XNYS,New York Stock Exchange Inc
APVO,2901388.0,XNAS,Nasdaq All Markets
APWC,27209296.0,XNAS,Nasdaq All Markets
APXI,65588047.0,XNAS,Nasdaq All Markets
APXIU,65588048.0,XNAS,Nasdaq All Markets
APYX,93884847.0,XNAS,Nasdaq All Markets
AQB,9693865.0,XNAS,Nasdaq All Markets
AQMS,62940334.0,XNAS,Nasdaq All Markets
AQN,3906614226.0,XNYS,New York Stock Exchange Inc
AQNB,4051303634.0,XNYS,New York Stock Exchange Inc
AQST,179603991.0,XNAS,Nasdaq All Markets
AQU,49265083.0,XNAS,Nasdaq All Markets
