date,symbol,close
2023-11-08,VOO,401.67
2023-11-09,VOO,398.64
2023-11-10,VOO,404.86
2023-11-13,VOO,404.45
2023-11-14,VOO,412.22
2023-11-15,VOO,413.12
2023-11-16,VOO,413.7
2023-11-17,VOO,414.31
2023-11-20,VOO,417.43
2023-11-21,VOO,416.34
2023-11-22,VOO,418.14
2023-11-24,VOO,418.37
2023-11-27,VOO,417.64
2023-11-28,VOO,418.05
2023-11-29,VOO,417.78
2023-11-30,VOO,419.4
2023-12-01,VOO,421.86
2023-12-04,VOO,419.74
2023-12-05,VOO,419.61
2023-12-06,VOO,417.86
2023-12-07,VOO,421.13
2023-12-08,VOO,422.92
2023-12-11,VOO,424.56
2023-12-12,VOO,426.67
2023-12-13,VOO,432.48
2023-12-14,VOO,433.75
2023-12-15,VOO,433.09
2023-12-18,VOO,435.54
2023-12-19,VOO,438.19
2023-12-20,VOO,430.09
2023-12-21,VOO,434.28
2023-12-22,VOO,435.29
2023-12-26,VOO,437.1
2023-12-27,VOO,437.9
2023-12-28,VOO,437.97
2023-12-29,VOO,436.8
2024-01-02,VOO,434.01
2024-01-03,VOO,430.79
2024-01-04,VOO,429.43
2024-01-05,VOO,429.98
2024-01-08,VOO,436.13
2024-01-09,VOO,435.07
2024-01-10,VOO,437.94
2024-01-11,VOO,437.79
2024-01-12,VOO,437.99
2024-01-16,VOO,436.5
2024-01-17,VOO,434.07
2024-01-18,VOO,437.93
2024-01-19,VOO,443.29
2024-01-22,VOO,444.3
2024-01-23,VOO,445.62
2024-01-24,VOO,445.99
2024-01-25,VOO,448.5
2024-01-26,VOO,448.23
2024-01-29,VOO,451.49
2024-01-30,VOO,451.17
2024-01-31,VOO,443.82
2024-02-01,VOO,449.66
2024-02-02,VOO,454.28
2024-02-05,VOO,452.62
2024-02-06,VOO,454.03
2024-02-07,VOO,457.76
2024-02-08,VOO,458.07
2024-02-09,VOO,460.67
2024-02-12,VOO,460.46
2024-02-13,VOO,453.97
2024-02-14,VOO,458.29
2024-02-15,VOO,461.39
2024-02-16,VOO,459.03
2024-02-20,VOO,456.51
2024-02-21,VOO,456.97
2024-02-22,VOO,466.57
2024-02-23,VOO,466.78
2024-02-26,VOO,465.07
2024-02-27,VOO,465.93
2024-02-28,VOO,465.21
2024-02-29,VOO,466.93
2023-09-01,SPY,451.19
2023-09-05,SPY,449.24
2023-09-06,SPY,446.22
2023-09-07,SPY,444.85
2023-09-08,SPY,445.52
2023-09-11,SPY,448.45
2023-09-12,SPY,445.99
2023-09-13,SPY,446.51
2023-09-14,SPY,450.36
2023-09-15,SPY,443.37
2023-09-18,SPY,443.63
2023-09-19,SPY,442.71
2023-09-20,SPY,438.64
2023-09-21,SPY,431.39
2023-09-22,SPY,430.42
2023-09-25,SPY,432.23
2023-09-26,SPY,425.88
2023-09-27,SPY,426.05
2023-09-28,SPY,428.52
2023-09-29,SPY,427.48
2023-10-02,SPY,427.31
2023-10-03,SPY,421.59
2023-10-04,SPY,424.66
2023-10-05,SPY,424.5
2023-10-06,SPY,429.54
2023-10-09,SPY,432.29
2023-10-10,SPY,434.54
2023-10-11,SPY,436.32
2023-10-12,SPY,433.66
2023-10-13,SPY,431.5
2023-10-16,SPY,436.04
2023-10-17,SPY,436.02
2023-10-18,SPY,430.21
2023-10-19,SPY,426.43
2023-10-20,SPY,421.19
2023-10-23,SPY,420.46
2023-10-24,SPY,423.63
2023-10-25,SPY,417.55
2023-10-26,SPY,412.55
2023-10-27,SPY,410.68
2023-10-30,SPY,415.59
2023-10-31,SPY,418.2
2023-11-01,SPY,422.66
2023-11-02,SPY,430.76
2023-11-03,SPY,434.69
