symbol,date,close,high,low,open,volume
PBM,2024-01-31,1.78,2.02,1.78,1.9,27034
CRMT,2024-01-31,60.89,63.92,60.83,62.44,138830
HCI,2024-01-31,89.67,91.93,89.64,91.68,109159
PBM,2024-02-01,1.72,1.95,1.6598,1.8,159094
CRMT,2024-02-01,63.05,64.435,59.77,61.96,67910
HCI,2024-02-01,91.11,91.19,87.56,89.62,83263
IOT,2024-02-01,31.63,31.94,30.91,31.676,1726668
CRMT,2024-02-02,62.25,62.56,60.17,61.48,51087
IOT,2024-02-02,32.51,32.98,31.16,31.25,3204554
PBM,2024-02-02,1.45,1.71,1.43,1.71,56110
HCI,2024-02-02,90.87,91.96,90.165,91.04,35149
IOT,2024-02-05,31.77,33.33,31.51,32.65,2342896
HCI,2024-02-05,91.54,92.7,88.9801,89.83,62764
CRMT,2024-02-05,62.29,62.52,57.61,60.81,145330
PBM,2024-02-05,1.4233,1.5329,1.38,1.53,21184
CRMT,2024-02-06,60.89,63.12,60.56,61.66,51941
HCI,2024-02-06,92.08,93.7,91.0,91.72,50057
IOT,2024-02-06,31.72,32.05,30.71,32.0,2264745
PBM,2024-02-06,1.5,1.55,1.33,1.43,101618
IOT,2024-02-07,32.41,32.93,31.2,31.75,2272155
PBM,2024-02-07,1.17,1.55,1.11,1.54,3397906
HCI,2024-02-07,91.07,92.18,90.72,92.12,107505
CRMT,2024-02-07,61.12,62.485,60.255,61.3,87533
PBM,2024-02-08,0.9475,1.05,0.9009,0.99,401522
HCI,2024-02-08,93.02,93.28,91.08,91.14,74033
CRMT,2024-02-08,62.5,63.45,60.42,63.45,125215
IOT,2024-02-08,34.31,34.8269,32.68,32.68,3977006
IOT,2024-02-09,35.47,35.77,34.81,35.07,3747917
CRMT,2024-02-09,65.82,67.04,62.71,62.71,69784
PBM,2024-02-09,0.8122,0.97,0.8122,0.97,232921
HCI,2024-02-09,93.79,93.95,92.92,93.41,65401
CRMT,2024-02-12,69.42,71.21,66.81,66.81,93886
IOT,2024-02-12,34.49,36.78,33.93,36.28,4997941
PBM,2024-02-12,0.832,0.87,0.82,0.82,154873
HCI,2024-02-12,95.01,96.035,93.27,93.27,76279
HCI,2024-02-13,93.67,95.73,92.84,94.25,362167
PBM,2024-02-13,0.74,0.84,0.722,0.83,198827
CRMT,2024-02-13,62.87,66.3,61.95,66.3,76627
IOT,2024-02-13,32.67,33.7,31.5,32.3,3936473
PBM,2024-02-14,0.685,0.722,0.6447,0.722,198655
CRMT,2024-02-14,65.91,66.39,63.0,64.01,73752
IOT,2024-02-14,34.59,34.7279,32.95,33.3,2354537
HCI,2024-02-14,95.08,95.14,92.8,94.55,68067
PBM,2024-02-15,0.6653,0.73,0.632,0.7,156392
CRMT,2024-02-15,65.53,66.97,64.7,66.33,71971
IOT,2024-02-15,34.98,35.2871,34.08,35.05,1970645
HCI,2024-02-15,97.52,100.0699,94.69,95.37,163055
HCI,2024-02-16,99.07,100.0,96.22,97.5,117879
CRMT,2024-02-16,62.62,64.72,62.61,64.72,58689
IOT,2024-02-16,34.44,34.82,33.63,34.5,3421751
PBM,2024-02-16,0.6692,0.7,0.65,0.69,32735
IOT,2024-02-20,32.93,34.14,32.25,34.0,3251655
CRMT,2024-02-20,62.18,62.18,60.35,61.29,78605
HCI,2024-02-20,97.62,99.8306,97.41,98.73,62670
PBM,2024-02-20,0.6602,0.6983,0.63,0.68,128771
HCI,2024-02-21,95.5,97.41,94.1501,97.41,118981
IOT,2024-02-21,31.57,32.55,31.18,32.0,2402063
PBM,2024-02-21,0.573,0.68,0.5578,0.68,208775
CRMT,2024-02-21,64.38,65.47,62.23,63.2,67720
HCI,2024-02-22,96.18,96.41,94.84,96.41,116494
IOT,2024-02-22,32.69,33.509,32.5,32.71,2327660
PBM,2024-02-22,0.5433,0.6003,0.5135,0.6003,80872
CRMT,2024-02-22,64.01,65.28,62.79,64.66,107852
CRMT,2024-02-23,64.43,64.89,62.81,63.91,122493
HCI,2024-02-23,99.5,99.635,96.71,96.71,60421
IOT,2024-02-23,33.31,33.87,33.02,33.03,2289491
PBM,2024-02-23,0.5444,0.57,0.518,0.5316,127110
CRMT,2024-02-26,64.47,66.19,63.43,64.11,61995
IOT,2024-02-26,33.49,34.5,33.3503,33.6,2278571
HCI,2024-02-26,98.21,99.76,97.9273,99.13,58414
PBM,2024-02-26,0.593,0.5931,0.533,0.5482,134808
PBM,2024-02-27,0.5899,0.6,0.5533,0.5752,109022
HCI,2024-02-27,98.63,99.6476,97.956,98.53,31575
CRMT,2024-02-27,67.72,68.21,64.96,64.96,82327
IOT,2024-02-27,33.78,34.1,33.14,33.78,2405235
HCI,2024-02-28,97.63,98.58,97.22,97.82,35503
PBM,2024-02-28,0.57,0.61,0.57,0.5735,68214
CRMT,2024-02-28,66.88,68.01,66.065,66.39,107845
IOT,2024-02-28,33.21,33.72,32.93,33.31,2831038
HCI,2024-02-29,97.62,98.4099,96.94,98.38,63208
PBM,2024-02-29,0.55,0.598,0.541,0.5907,112960
CRMT,2024-02-29,67.34,69.23,66.785,68.9,75845
IOT,2024-02-29,34.55,35.34,33.4503,33.55,14216798
PBM,2024-03-01,0.572,0.6,0.533,0.55,26776
IOT,2024-03-01,34.99,35.24,33.35,34.86,5151929
HCI,2024-03-01,99.43,100.9599,97.04,97.98,77987
CRMT,2024-03-01,67.69,69.11,66.27,66.99,77204
CRMT,2024-03-04,64.18,65.59,62.03,64.6,283207
HCI,2024-03-04,99.09,101.12,98.6201,99.29,103207
IOT,2024-03-04,35.9,36.49,34.72,35.54,5337650
PBM,2024-03-04,0.6205,0.71,0.5802,0.62,1002503
IOT,2024-03-05,32.8,35.2,32.25,35.0,6110780
PBM,2024-03-05,0.86,1.1,0.605,0.6479,7093150
CRMT,2024-03-05,62.55,64.57,62.46,63.52,160505
HCI,2024-03-05,97.08,100.05,96.82,98.72,92858
IOT,2024-03-06,33.35,34.3,33.16,33.61,3810553
PBM,2024-03-06,1.02,1.38,0.75,0.79,6566906
CRMT,2024-03-06,60.75,63.13,59.29,61.0,211956
HCI,2024-03-06,98.16,98.4,97.025,97.61,115636
CRMT,2024-03-07,62.3,63.735,60.69,61.96,194314
IOT,2024-03-07,34.36,34.4,33.05,34.0,7593193
HCI,2024-03-07,99.21,99.96,97.105,98.51,96791
PBM,2024-03-07,1.27,1.5,0.9401,0.9788,3711232
