symbol,marketcap,exchange,exchangeName,marketcapType
ALKS,4676013634.0,XNAS,Nasdaq All Markets,Mid-Cap
ALKT,2426003861.0,XNAS,Nasdaq All Markets,Mid-Cap
ALL,41273283734.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALL-B,41530947957.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALL-H,41110480325.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALL-I,41166574379.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALL-J,41342141528.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALLE,11406238450.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALLG,269845444.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ALLK,111969713.0,XNAS,Nasdaq All Markets,Micro-Cap
ALLO,795948611.0,XNAS,Nasdaq All Markets,Small-Cap
ALLR,2007043.0,XNAS,Nasdaq All Markets,Micro-Cap
ALLT,70359761.0,XNAS,Nasdaq All Markets,Micro-Cap
ALLY,10703354567.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALNT,454401590.0,XNAS,Nasdaq All Markets,Small-Cap
ALNY,20583349887.0,XNAS,Nasdaq All Markets,Large-Cap
ALOT,127844143.0,XNAS,Nasdaq All Markets,Micro-Cap
ALPN,1713018380.0,XNAS,Nasdaq All Markets,Small-Cap
ALPP,14888325.0,XNAS,Nasdaq All Markets,Micro-Cap
ALRM,3323187880.0,XNAS,Nasdaq All Markets,Mid-Cap
ALRN,21740528.0,XNAS,Nasdaq All Markets,Micro-Cap
ALRS,444465735.0,XNAS,Nasdaq All Markets,Small-Cap
ALSA,137652604.0,XNAS,Nasdaq All Markets,Micro-Cap
ALSAR,137652604.0,XNAS,Nasdaq All Markets,Micro-Cap
ALSAU,137652600.0,XNAS,Nasdaq All Markets,Micro-Cap
ALSN,5522101578.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALT,472545420.0,XNAS,Nasdaq All Markets,Small-Cap
ALTG,358962362.0,XNYS,New York Stock Exchange Inc,Small-Cap
ALTG-A,380265366.0,XNYS,New York Stock Exchange Inc,Small-Cap
ALTI,345228940.0,XNAS,Nasdaq All Markets,Small-Cap
ALTM,0.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ALTO,149613332.0,XNAS,Nasdaq All Markets,Micro-Cap
ALTR,4770402000.0,XNAS,Nasdaq All Markets,Mid-Cap
ALTU,90820151.0,XNAS,Nasdaq All Markets,Micro-Cap
ALTUU,90820153.0,XNAS,Nasdaq All Markets,Micro-Cap
ALTUW,90820151.0,XNAS,Nasdaq All Markets,Micro-Cap
ALTY,34700700.0,XNAS,Nasdaq All Markets,Micro-Cap
ALUR,151549534.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ALV,9129252539.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALVO,4179221361.0,XNAS,Nasdaq All Markets,Mid-Cap
ALVR,76997617.0,XNAS,Nasdaq All Markets,Micro-Cap
ALX,1125391352.0,XNYS,New York Stock Exchange Inc,Small-Cap
ALXO,719881833.0,XNAS,Nasdaq All Markets,Small-Cap
ALZN,6551047.0,XNAS,Nasdaq All Markets,Micro-Cap
AM,5667809095.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AMAL,719872534.0,XNAS,Nasdaq All Markets,Small-Cap
AMAM,1753998027.0,XNAS,Nasdaq All Markets,Small-Cap
AMAT,150440978950.0,XNAS,Nasdaq All Markets,Large-Cap
AMBA,2116646159.0,XNAS,Nasdaq All Markets,Mid-Cap
AMBC,720400920.0,XNYS,New York Stock Exchange Inc,Small-Cap
AMBP,2214066904.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AMC,887647119.0,XNYS,New York Stock Exchange Inc,Small-Cap
AMCR,12769607278.0,XNYS,New York Stock Exchange Inc,Large-Cap
AMCX,446032548.0,XNAS,Nasdaq All Markets,Small-Cap
AMD,273536000000.0,XNAS,Nasdaq All Markets,Mega-Cap
AMDS,1419013.0,XNAS,Nasdaq All Markets,Micro-Cap
